Reference; Quantity; Footprint; Value; Voltage; Type; Description; Tolerance; Size; Power; Current; 
C103 C105 C107 C218 C220 C221 C223 C305 C504 C644 C806 C807 C820 C858 C859 ;15;SMD-0805;22u;'10V;'X5R;'Ceramic capacitor;'20%;'0805;';';
C104 C106 C108 C203 C205 C206 C207 C208 C212 C224 C226 C231 C304 C306 C311 C312 C313 C315 C316 C404 C505 C508 C510 C512 C615 C617 C638 C641 C647 C653 C656 C703 C706 C707 C808 C852 C860 C861 ;38;SMD-0805;100n;'50V;'X7R;'Ceramic capacitor;'10%;'0805;';';
C201 C210 ;2;CAP-TH-D6.3mmP2.5mm;220u;'16V;'2.5mm pitch, 6.3mm diameter;'Aluminium electrolytic capacitor;';';';';
C209 C301 C501 C637 C701 C802 C803 C816 C854 C855 ;10;SMD-0805;100p;'50V;'C0G;'Ceramic capacitor;'5%;'0805;';';
C202 C204 C211 ;3;SMD-0805;22u;'25V;'X5R;'Ceramic capacitor;'20%;'0805;';';
C214 C216 C709 ;3;SMD-0805;N/F;'50V;'X7R;'Ceramic capacitor;'10%;'0805;';';
C227 C229 C303 C503 C640 C804 C805 C818 C856 C857 ;10;CAP-TH-D6.3mmP2.5mm;220u;'10V;'2.5mm pitch, 6.3mm diameter;'Low impedance aluminium electrolytic capacitor - Panasonic FC, FR or similar;';';';';
C302 C309 C310 C507 C509 C511 C619 C702 C853 ;9;SMD-0805;10u;'10V;'X5R;'Ceramic capacitor;'20%;'0805;';';
C502 C506 C601 C602 ;4;SMD-0805;33p;'50V;'NP0;'Ceramic capacitor;'5%;'0805;';';
C609 C611 ;2;SMD-0805;1u;'10V;'X7R;'Ceramic capacitor;'10%;'0805;';';
C704 C705 C708 C851 ;4;SMD-0805;10n;'50V;'X7R;'Ceramic capacitor;'10%;'0805;';';
C810 C812 C814 ;3;SMD-0603;1u;'10V;'X7R;'Ceramic capacitor;'10%;'0603;';';
C811 C824 C832 C834 C840 C844 C846 C850 C867 ;9;SMD-0603;10n;'50V;'X7R;'Ceramic capacitor;'10%;'0603;';';
C809 C823 C831 C833 C839 C843 C845 C849 C862 C863 C864 C866 C870 C871 C873 C874 ;16;SMD-0603;100n;'50V;'X7R;'Ceramic capacitor;'10%;'0603;';';
CN301 CN302 CN501 ;3;CONN_SIL_2_1MM;COAX;';';'1x2 2.54mm pitch pin header - use with 75Ohm coax;';';';';
CN401 ;1;CONN-USB-B-61729-0010;CONN-USB-B-61729;';';'USB B Connector - Amphenol 61729 Series - eg: 61729-0010;';';';';
CN601 ;1;CONN-RJ45-ARJC02-111xxxx;CONN_RJ45_ARJC02-111xxxx;';';'Amphenol RJE48 series RJ45 connector with LED - eg: RJE48-188-1411;';';';';
D201 ;1;DIODE-SMA;B240A;';';'B240A 2A 40V Schottky Rectifier - SMA (DO-214AC);';';';';
D202 ;1;SMD-1206;Green LED 1206;';';'Green LED - SMD - Vf 1.8V to 2.2V;';'1206;';';
D401 D402 D403 D404 D405 D406 D407 D408 ;8;IC-SOT23;BAV99;';';'Text description;';';';';
D601 D602 ;2;DIODE-SOD-123;SS14L;';';'SS14L 1A 40V Schottky rectifier - Sub-SMA (SOD-123);';';';';
FID201 FID202 FID203 ;3;FID-1MM-3MM;MNT_HOLE;';';'Fiducial;';';';';
JP301 ;1;CONN_SIL_3_1MM;CONN_3x1;';';'1x3 2.54mm pitch pin header;';';';';
L201 L301 L501 L604 L801 L802 L803 L804 L805 ;9;SMD-0805;600R@100MHz;';';'Ferrite bead, current rating 1A or higher, 600R@100MHz;';'0805;';'=>1A;
L202 ;1;IND-TH-DR0608;DR0608-332L;';';'Coilcraft DR0608-332L DCR=0.012Ohm Isat=5.3A Irms=5.0A;';';';'2.7A;
L204 ;1;IND-TH-DR0608;DR0608-153L;';';'Coilcraft DR0608-153L DCR=0.052Ohm Isat=2.7A Irms=2.7A;';';';'2.7A;
MNT201 MNT202 MNT203 MNT204 ;4;MNT_HOLE_3.2mm;MNT_HOLE;';';'Mounting hole;';';';';
P201 ;1;CONN-2WAY-2.54mm-3.81mm-SPACING;CONN_2x1;';';'2 way screw terminal, any 2.54mm to 3.81mm pitch part;';';';';
JP801 JP802 JP803 JP804 P202 P701 ;6;CONN_SIL_2_1MM;CONN_2x1;';';'1x2 2.54mm pitch pin header;';';';';
P402 P408 ;2;CONN_DIL_2X04;CONN_02X04;';';'2x4 2.54mm pitch pin header;';';';';
P403 ;1;CONN_DIL_2X10_BOX_1MM;CONN_02X10;';';'2x10 2.54mm pitch box header;';';';';
P404 ;1;CONN_DIL_2X4_BOX_1MM;CONN_02X04;';';'2x4 2.54mm pitch box header;';';';';
P405 ;1;CONN_DIL_2X6_BOX_1MM;CONN_02X06;';';'2x6 2.54mm pitch box header;';';';';
P401 P406 P407 ;3;CONN_DIL_2X5_BOX_1MM;CONN_02X05;';';'2x5 2.54mm pitch box header;';';';';
R101 R102 R104 R106 R108 R208 R214 R413 R414 R416 R417 R418 R420 R421 R422 R427 R429 R713 R821 R822 R823 R824 R825 R826 R827 R828 R829 R830 R831 R862 R874 R875 R887 R888 R890 R891 R892 R893 ;38;SMD-0805;0;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R103 R105 R107 R109 R401 R402 R409 R410 R423 R424 R425 R426 R434 R435 R436 R438 R504 R506 R510 R515 R602 R620 R631 R633 R638 R642 R803 R804 ;28;SMD-0805;N/F;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R110 R111 R112 R113 R114 R115 R116 R117 R604 R605 R606 R607 R608 R609 R621 R863 R864 R869 R877 R878 R879 R880 R881 R883 R884 R885 R886 R889 ;28;SMD-0805;33;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R201 R204 R403 R404 R405 R406 R407 R408 R412 R415 R502 R511 R610 R611 R613 R619 R632 R634 R805 R806 R820 R843 ;22;SMD-0805;1k;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R202 R209 ;2;SMD-0805;10;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R203 ;1;SMD-0805;750;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R205 R301 R501 R617 R702 R801 R802 R817 R865 R866 ;10;SMD-0805;47;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R206 ;1;SMD-0805;8k25;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R207 ;1;SMD-0805;33k;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R212 ;1;SMD-0805;36k;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R213 ;1;SMD-0805;11k5;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R215 ;1;SMD-0805;220;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R304 R305 R306 R307 R313 R430 R431 R432 ;8;SMD-0805;75;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R302 R308 R309 R612 R703 R844 ;6;SMD-0805;10k;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R310 ;1;SMD-0805;360;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R311 R709 R710 R711 ;4;SMD-0805;100;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R312 ;1;SMD-0805;91;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R411 R701 ;2;SMD-0805;1;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R503 ;1;SMD-0805;1Meg;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R507 R512 ;2;SMD-0805;0R;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
